Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
2024,2,Buenos Aires,214055,2722466,1849476,138638000,64745000,4989380
2024,2,Capital Federal,54102,1144781,230402,4493000,29821000,1463599
2024,2,Catamarca,4951,10303,58355,1384000,81000,75074
2024,2,Chaco,9448,57935,68944,8407000,2358000,147092
2024,2,Chubut,25955,80704,26516,31118000,9930000,174223
2024,2,Córdoba,93483,443091,477504,62162000,9534000,1085774
2024,2,Corrientes,14849,86226,39792,10295000,5313000,156475
2024,2,Entre Ríos,31335,158918,68540,23954000,11564000,294311
2024,2,Formosa,8488,18768,18977,16430000,287000,62950
2024,2,Jujuy,9509,51361,53492,4106000,1216000,119684
2024,2,La Pampa,6778,58647,37226,19510000,1102000,123263
2024,2,La Rioja,2230,55531,23294,6396000,30000,87481
2024,2,Mendoza,17671,66636,188815,27606000,925000,301653
2024,2,Misiones,20868,76427,87389,14968000,6902000,206554
2024,2,Neuquén,23553,72698,41784,24549000,958000,163542
2024,2,Río Negro,20771,49722,67636,18083000,15829000,172041
2024,2,Salta,19831,98511,64689,11807000,6503000,201341
2024,2,San Juan,12669,16978,45792,23594000,6957000,105990
2024,2,San Luis,4038,40063,34255,78954000,299000,157609
2024,2,Santa Cruz,7768,14134,49545,11353000,661000,83461
2024,2,Santa Fe,88486,394939,390090,44286000,13172000,930973
2024,2,Santiago del Estero,5328,80000,30008,7058000,2920000,125314
2024,2,Tierra del Fuego,9357,47859,3684,177000,332000,61409
2024,2,Tucumán,27968,20806,213753,3869000,518000,266914
2024,1,Capital Federal,70108,1177475,203756,4493000,48879000,1504711
2024,1,Catamarca,5901,11025,56542,1384000,81000,74933
2024,1,Chaco,11343,58929,64463,8404000,12404000,155543
2024,1,Chubut,26306,77217,26356,30867000,9930000,170676
2024,1,Córdoba,102812,449784,458985,61121000,9497000,1082199
2024,1,Corrientes,18390,85595,38268,10409000,5232000,157894
2024,1,Entre Ríos,36574,158283,66180,23950000,11565000,296552
2024,1,Formosa,9147,18631,17908,16851000,181000,62718
2024,1,Jujuy,10554,51093,51084,4106000,1216000,118053
2024,1,La Pampa,6844,59008,35556,19681000,1106000,122195
2024,1,La Rioja,2827,55443,23086,6396000,30000,87782
2024,1,Mendoza,17674,70932,185460,27606000,925000,302597
2024,1,Misiones,23217,77561,81498,13378000,6902000,202556
2024,1,Neuquén,24076,73298,41577,24387000,908000,164246
2024,1,Río Negro,20841,49727,66889,17733000,15829000,171019
2024,1,Salta,23858,99150,61543,11807000,6503000,202861
2024,1,San Juan,12669,18543,44904,23594000,6956000,106666
2024,1,San Luis,4038,41260,31539,78954000,299000,156090
2024,1,Santa Cruz,7768,14435,49545,7799000,661000,80208
2024,1,Santa Fe,86548,399817,374288,44162000,13773000,918588
2024,1,Santiago del Estero,6644,80722,27018,7058000,2920000,124362
2024,1,Tierra del Fuego,9357,48005,3684,177000,332000,61555
2024,1,Tucumán,33682,20361,205959,4075000,518000,264595
2023,4,Buenos Aires,223391,2797700,1784593,137993000,67943000,5011620
2023,4,Capital Federal,58700,1198835,182520,4492000,29820000,1474367
2023,4,Catamarca,6669,11016,55437,1384000,81000,74587
2023,4,Chaco,14000,60277,62301,8404000,2404000,147386
2023,4,Chubut,26306,77217,26174,30543000,9930000,170170
2023,4,Córdoba,115662,452380,440536,61862000,8862000,1079302
2023,4,Corrientes,21769,86102,35968,10402000,5231000,159472
2023,4,Entre Ríos,41794,159575,61667,24036000,11565000,298637
2023,4,Formosa,10252,18325,16179,17061000,185000,62002
2023,4,Jujuy,11669,51083,49947,4105000,1216000,118020
2023,4,La Pampa,6844,59063,34331,19982000,1106000,121326
2023,4,La Rioja,3296,55441,22559,6395000,30000,87721
2023,4,Mendoza,17676,70920,182220,27609000,926000,299351
2023,4,Misiones,25840,79000,75382,12928000,7183000,200333
2023,4,Neuquén,24122,73784,41583,24390000,748000,164627
2023,4,Río Negro,21192,49789,64323,17284000,15829000,168417
2023,4,Salta,26765,98853,60800,11806000,6508000,204732
2023,4,San Juan,12669,18543,42691,22351000,6956000,103210
2023,4,San Luis,4037,41260,30135,78954000,299000,154685
2023,4,Santa Cruz,7768,15669,55246,7687000,661000,87031
2023,4,Santa Fe,97004,398670,355762,44521000,13544000,909501
2023,4,Santiago del Estero,8290,80692,24271,7057000,2920000,123230
2023,4,Tierra del Fuego,9357,48071,3682,157000,332000,61599
2023,4,Tucumán,41318,20267,199876,4357000,517000,266335
2023,3,Buenos Aires,237705,2784175,1740239,137921000,68197000,4968237
2023,3,Capital Federal,60765,1205339,167428,4629000,29823000,1467984
2023,3,Catamarca,7164,11066,54650,1384000,91000,74355
2023,3,Chaco,16420,60058,54993,8267000,2408000,142146
2023,3,Chubut,26352,75460,25827,30521000,9908000,168068
2023,3,Córdoba,125050,453994,417338,62514000,10438000,1069334
2023,3,Corrientes,24253,83897,36032,10407000,5240000,159829
2023,3,Entre Ríos,45384,157464,54794,24481000,11170000,293293
2023,3,Formosa,11230,18053,14904,16899000,228000,61314
2023,3,Jujuy,12627,51082,48350,4067000,1251000,117377
2023,3,La Pampa,6844,59063,32891,20014000,1109000,119921
2023,3,La Rioja,3726,55494,22054,6395000,32000,87701
2023,3,Mendoza,17677,73066,178719,27609000,951000,298022
2023,3,Misiones,27934,79087,70003,12928000,7183000,197135
2023,3,Neuquén,24527,73329,39243,24085000,3089000,164273
2023,3,Río Negro,22422,50429,56668,16864000,17102000,163485
2023,3,Salta,29113,98324,59914,12337000,6545000,206233
2023,3,San Juan,12669,19376,42383,22317000,6985000,103730
2023,3,San Luis,4037,41624,24525,78431000,299000,148916
2023,3,Santa Cruz,8376,23931,11270,3660000,750000,47987
2023,3,Santa Fe,108503,397854,336013,44545000,13437000,900352
2023,3,Santiago del Estero,9412,80919,21745,6916000,2936000,121928
2023,3,Tierra del Fuego,9357,45203,3682,157000,332000,58731
2023,3,Tucumán,46348,20545,195053,4088000,523000,266557
2023,2,Buenos Aires,265537,2766463,1645945,138405000,69138000,4885488
2023,2,Capital Federal,68348,1218631,136295,4504000,29900000,1457678
2023,2,Catamarca,7637,10700,53177,1384000,92000,72990
2023,2,Chaco,19115,59944,51955,8267000,2574000,141855
2023,2,Chubut,33702,73689,16111,30521000,9938000,163961
2023,2,Córdoba,129303,453924,411703,62391000,10430000,1067751
2023,2,Corrientes,26821,82977,32834,10407000,5255000,158294
2023,2,Entre Ríos,46503,142562,49251,24461000,11170000,273947
2023,2,Formosa,11934,17678,13698,16813000,227000,60350
2023,2,Jujuy,13749,51082,47289,4067000,1255000,117442
2023,2,La Pampa,7254,59101,31449,19993000,1113000,118910
2023,2,La Rioja,4152,55148,21245,6395000,32000,86972
2023,2,Mendoza,25299,71931,171857,27609000,980000,297676
2023,2,Misiones,28897,82058,64406,12927000,7183000,195471
2023,2,Neuquén,26379,73040,35171,24046000,3110000,161746
2023,2,Río Negro,26390,49684,53325,16864000,17116000,163379
2023,2,Salta,30666,97501,58275,12337000,6549000,205328
2023,2,San Juan,21483,20200,25217,23545000,7004000,97449
2023,2,San Luis,4937,41949,15595,77960000,307000,140748
2023,2,Santa Cruz,9019,23896,11269,3660000,758000,48602
2023,2,Santa Fe,126344,399669,311166,44134000,14501000,895814
2023,2,Santiago del Estero,10629,80086,17244,6916000,2934000,117809
2023,2,Tierra del Fuego,12392,45224,525,157000,337000,58635
2023,2,Tucumán,50019,20012,188986,4060000,525000,263602
2023,1,Buenos Aires,304583,2761043,1551074,132458000,71770000,4820928
2023,1,Capital Federal,132149,1223930,156222,4605000,31823000,1548729
2023,1,Catamarca,6980,10655,50230,1384000,2243000,71492
2023,1,Chaco,21243,60727,49756,8142000,2574000,142442
2023,1,Chubut,45448,73525,9815,30521000,10744000,170053
2023,1,Córdoba,136976,455139,386297,61066000,10494000,1049972
2023,1,Corrientes,29577,81116,30016,11071000,5240000,157020
2023,1,Entre Ríos,51084,141699,44508,26415000,11172000,274878
2023,1,Formosa,12502,17421,13345,17490000,227000,60985
2023,1,Jujuy,15306,51082,46271,4067000,1255000,117981
2023,1,La Pampa,7049,59944,28126,20103000,1282000,116504
2023,1,La Rioja,4652,54604,20722,6395000,32000,86405
2023,1,Mendoza,37646,73678,152534,27592000,1569000,293019
2023,1,Misiones,30455,82834,56619,12896000,7881000,190685
2023,1,Neuquén,28030,72639,32296,23937000,3510000,160412
2023,1,Río Negro,33604,49128,45329,16857000,19413000,164331
2023,1,Salta,33427,96922,56259,12269000,6549000,205426
2023,1,San Juan,38568,21215,12798,21912000,7274000,101767
2023,1,San Luis,6283,42789,6952,78954000,485000,135463
2023,1,Santa Cruz,9702,23839,12217,3660000,943000,50361
